A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	#	#	#	#	#	1	0.032847322599271804	0.5050100200400801	2	0	999	0	0.16666666666666666	0	252	499
#	1	0	#	#	0	0	0.23410655790434154	0.7479674796747967	17	0	977	2	0.5	0	92	123
#	#	0	0	1	1	0	0.03381015364324406	0.5079365079365079	3	0	964	3	0.6666666666666666	0	32	63
#	#	0	0	#	1	0	0.09233050268659077	0.6209677419354839	5	0	969	3	0.5	0	77	124
#	1	0	0	#	0	0	1.0	1.0	11	0	977	3	0.6666666666666666	0	61	61
0	1	0	0	#	0	0	1.0	1.0	11	0	977	4	0.8333333333333334	0	31	31
0	#	#	#	0	#	0	0.029397769952399615	0.4939271255060729	2	0	974	5	0.3333333333333333	0	122	247
#	#	0	#	0	1	0	0.09233050268659077	0.6209677419354839	3	0	998	5	0.5	0	77	124
0	#	#	0	1	1	0	0.21848085858476907	0.7377049180327869	4	0	964	5	0.6666666666666666	0	45	61
1	#	#	#	0	#	0	0.23573313881042518	0.749003984063745	3	0	998	6	0.3333333333333333	0	188	251
1	1	0	#	0	0	0	1.0	1.0	7	0	962	6	0.8333333333333334	0	30	30
1	#	#	0	#	#	0	0.030632430555994714	0.49800796812749004	2	0	986	6	0.3333333333333333	0	125	251
0	0	0	#	#	#	0	1.0	1.0	14	0	968	8	0.5	0	121	121
0	0	0	#	#	0	0	1.0	1.0	7	0	968	8	0.6666666666666666	0	60	60
#	1	0	#	#	#	0	0.029383019934323514	0.49387755102040815	4	0	977	8	0.3333333333333333	0	121	245
0	#	#	#	0	0	1	0.03389684629935409	0.5081967213114754	2	0	996	10	0.5	0	62	122
0	#	0	#	0	1	0	0.21848085858476907	0.7377049180327869	4	0	965	12	0.6666666666666666	0	45	61
0	#	1	#	1	#	0	0.0009765625	0.25	1	0	973	13	0.5	0	31	124
#	#	0	#	0	0	1	3.879723361468997e-05	0.13114754098360656	2	0	996	15	0.5	0	16	122
#	#	#	#	0	1	0	0.030000163240177628	0.4959349593495935	1	0	998	15	0.3333333333333333	0	122	246
#	1	#	#	#	0	0	0.2373046875	0.75	3	0	984	16	0.3333333333333333	0	183	244
1	#	0	0	#	#	0	0.028809833557247734	0.49193548387096775	5	0	986	16	0.5	0	61	124
0	#	#	#	0	#	1	0.032562843612755486	0.5041322314049587	1	0	996	17	0.3333333333333333	0	122	242
0	#	1	#	1	0	0	0.0008990981834764156	0.2459016393442623	1	0	973	17	0.6666666666666666	0	15	61
#	#	#	#	0	0	0	0.2373046875	0.75	3	0	986	19	0.3333333333333333	0	183	244
#	1	#	#	#	#	0	0.029678394733039702	0.4948665297741273	3	0	984	19	0.16666666666666666	0	241	487
1	0	#	#	#	1	1	0.03381015364324406	0.5079365079365079	2	0	994	20	0.5	0	64	126
#	1	#	0	#	#	0	0.22927753629156852	0.7448559670781894	5	0	984	20	0.3333333333333333	0	181	243
1	#	0	0	#	0	0	0.22481780895283973	0.7419354838709677	3	0	986	20	0.6666666666666666	0	46	62
#	#	#	#	0	0	1	0.0009968224423024293	0.25102880658436216	1	0	996	21	0.3333333333333333	0	61	243
#	#	#	#	#	1	0	0.007069302076515739	0.37142857142857144	1	0	998	22	0.16666666666666666	0	182	490
1	0	0	0	1	1	1	1.0	1.0	2	0	994	22	1.0	0	16	16
0	0	#	#	#	#	0	0.030607017888939207	0.4979253112033195	2	0	968	23	0.3333333333333333	0	120	241
#	0	0	#	#	1	1	0.0010592764468548154	0.2540983606557377	2	0	994	23	0.5	0	31	122
#	1	1	#	0	1	1	0.2503403425672665	0.7580645161290323	3	0	997	25	0.6666666666666666	0	47	62
0	1	#	0	#	0	0	1.0	1.0	9	0	977	26	0.6666666666666666	0	60	60
#	1	0	#	#	1	0	0.0008990981834764156	0.2459016393442623	2	0	964	27	0.5	0	30	122
#	#	1	0	0	1	0	0.03125	0.5	2	0	974	27	0.6666666666666666	0	30	60
#	1	#	#	#	1	1	0.24222785347949022	0.7530864197530864	1	0	997	28	0.3333333333333333	0	183	243
1	#	1	#	#	1	1	0.23089142719765482	0.7459016393442623	1	0	997	29	0.5	0	91	122
#	#	0	#	0	0	0	0.4920617918445125	0.8677685950413223	3	0	986	29	0.5	0	105	121
1	0	1	#	#	#	1	0.03389684629935409	0.5081967213114754	1	0	995	32	0.5	0	62	122
