L1	L2	L3	L4	R1	R2	R3	R4	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	1	0	0	#	0	#	0	0	1	1	10	101.5	24995	330	0.62		772	772
0	#	0	#	#	0	#	#	0	0.249	0.757	3	88.59	24995	462	0.38		2393	3160
0	#	0	#	#	1	#	1	1	1	1	19	121.66	24946	477	0.5		1533	1533
#	#	1	#	#	1	#	1	3	0.225	0.742	3	99.78	24994	530	0.38		2199	2963
1	#	#	#	#	1	#	1	3	0.225	0.742	2	114.04	24994	622	0.38		2190	2951
1	0	#	#	0	#	1	#	2	0.056	0.562	1	71.53	24984	638	0.5		857	1524
0	#	#	#	1	1	1	#	1	0.237	0.75	1	78.81	24983	663	0.5		1140	1521
1	0	#	#	#	1	#	1	3	0.237	0.75	4	116.74	24986	666	0.5		1140	1520
#	#	0	0	#	0	#	0	0	0.262	0.765	2	98.78	24995	675	0.5		1235	1615
0	0	#	1	#	#	#	1	1	0.238	0.75	3	81.05	24931	787	0.5		1135	1513
#	1	0	0	1	0	0	#	0	1	1	7	103.5	24953	838	0.75		378	378
#	#	0	#	0	#	0	1	1	0.236	0.749	2	89.79	24952	843	0.5		1130	1508
#	#	0	#	#	0	#	0	0	0.25	0.758	2	87.03	24995	887	0.38		2357	3109
#	1	1	1	0	#	1	0	2	1	1	8	99.52	24979	915	0.75		376	376
1	0	#	0	#	0	#	0	2	1	1	13	124.84	24925	984	0.62		749	749
1	#	1	#	#	#	#	0	2	0.238	0.75	4	97.34	24984	1026	0.38		2247	2995
1	#	1	#	#	#	1	0	2	0.238	0.75	4	110.23	24984	1056	0.5		1123	1497
1	0	#	0	#	#	#	0	2	0.237	0.75	1	80.77	24985	1081	0.5		1120	1494
#	0	0	1	0	#	0	1	1	1	1	8	109.94	24907	1099	0.75		372	372
#	1	1	1	0	0	1	#	2	1	1	4	89.32	24912	1112	0.75		372	372
1	#	1	#	#	#	0	0	2	0.237	0.75	1	90.6	24956	1148	0.5		1118	1491
0	#	0	#	#	1	#	#	1	0.237	0.75	4	101.04	24983	1213	0.38		2229	2973
1	#	1	#	1	#	1	1	3	1	1	13	102.5	24898	1235	0.62		649	649
0	#	0	#	0	#	1	0	0	1	1	12	104.33	24992	1259	0.62		742	742
1	#	#	0	0	0	1	#	2	0.236	0.749	3	74.04	24968	1303	0.62		556	742
#	#	0	1	#	1	#	1	1	0.238	0.75	4	95.15	24976	1382	0.5		1105	1473
0	0	#	1	1	#	0	0	0	1	1	6	96.97	24949	1397	0.75		368	368
0	#	0	#	#	0	#	0	0	1	1	16	111.62	24995	1401	0.5		1566	1566
0	0	#	1	0	1	0	#	1	1	1	5	86.31	24966	1414	0.75		368	368
#	1	1	#	0	0	1	#	2	0.237	0.75	1	72.05	24968	1416	0.62		552	736
1	0	#	0	1	#	#	0	2	0.238	0.751	2	87.37	24985	1496	0.62		551	734
#	#	1	#	0	1	0	#	3	0.238	0.75	1	89.71	24993	1554	0.5		1099	1465
#	1	1	#	1	1	1	0	3	0.239	0.751	1	71.45	24909	1573	0.75		275	366
1	0	#	0	#	0	#	#	2	0.238	0.75	2	99.67	24958	1582	0.5		1097	1462
1	0	#	0	0	0	1	#	2	1	1	10	104.89	24958	1593	0.75		365	365
#	1	1	1	#	0	#	0	2	1	1	9	120.29	24912	1599	0.62		731	731
#	#	0	1	0	#	0	1	1	0.236	0.749	1	96.49	24934	1611	0.62		547	730
1	#	1	#	0	0	1	#	2	1	1	16	101.97	24984	1616	0.62		732	732
1	#	1	#	#	0	#	0	2	1	1	17	129.75	24984	1660	0.5		1458	1458
#	1	0	0	1	#	0	0	0	1	1	7	104.7	24953	1708	0.75		363	363
